kartez,Spring_Mean,Spring_SD,Spring_SE,Fall_Mean,Fall_SD,Fall_SE,family,genus,sp_epithet,common_name,Native,PhotoPath,LifeHistory,FunctionalGroup,Isotope_n,Mean_d13C,SD_d13C,Mean_d15N,SD_d15N,Mean_N,SD_N,Iso_tissue
GRCL,151.2,126.5,32.7,48.8,44.8,11.2,Cactaceae,Grusonia,clavata,club cholla,y,CAM,Perennial,Shrub,3,-12.7,0.7,4.9,0.7,1.2,0.6,Seed
STEM,3.6,4.0,1.0,3.4,3.7,0.9,,Stachys ,emersonii,,y,C3,Perennial,Forb,,,,,,,,
SEDI3,3.4,5.0,1.3,18.7,24.9,6.2,Nyctaginaceae,Selinocarpus,diffusus,spreading moonpod,y,C3,Perennial,Shrub,,,,,,,,
MELE2,0.9,2.8,0.7,2.5,6.3,1.6,Asteraceae,Melampodium,leucanthum,plains blackfoot,y,C3,Perennial,Forb,,,,,,,,
CRCR3,86.2,54.8,14.1,5.7,2.2,0.6,Boraginaceae,Cryptantha,crassisepala,thicksepal cryptantha,y,C3,Annual,Forb,3,-26.5,1.2,3.3,0.6,4.1,0.4,Seed
LAOCO,30.7,15.1,3.9,8.9,2.2,0.6,Boraginaceae,Lappula,occidentalis,flatspine stickseed,y,C3,Annual,Forb,5,-26.0,0.7,2.9,0.6,2.7,1.8,Seed
PLPA2,20.3,8.6,2.2,0.1,0.0,0.0,Plantaginaceae,Plantago,patagonica,woolly plantain,y,C3,Annual,Forb,3,-24.8,0.2,2.9,0.2,2.9,0.1,Seed
IPPU4,13.3,6.8,1.8,0.1,0.1,0.0,Polemoniaceae,Ipomopsis,pumila,dwarf ipomopsis,y,C3,Annual,Forb,3,-26.0,0.2,0.9,0.6,2.8,0.1,Seed
LIPU4,0.8,0.4,0.1,1.1,0.5,0.1,Linaceae,Linum,puberulum,plains flax,y,C3,Annual,Forb,3,-23.7,0.2,3.4,0.2,3.9,0.1,Seed
EUEX4,0.0,0.0,0.0,17.0,6.1,1.5,Euphorbiaceae,Euphorbia,exstipulata,squareseed spurge,y,C3,Annual,Forb,3,-26.1,0.2,1.7,0.2,3.4,0.4,Seed
SATR12,2.2,0.9,0.2,18.1,9.0,2.2,Chenopodiaceae,Salsola,tragus,prickly Russian thistle,n,C4,Annual,Forb,3,-14.5,0.2,3.4,0.3,1.2,0.1,Seed
CHSES,0.0,0.0,0.0,253.3,105.3,26.3,Euphorbiaceae,Chamaesyce,serpyllifolia,thymeleaf sandmat,y,C4,Annual,Forb,2,-13.8,0.3,1.8,0.2,1.8,0.4,Seed
CHSE7,0.0,0.0,0.0,10.4,6.7,1.7,Euphorbiaceae,Chamaesyce,serrula,sawtooth sandmat,y,C4,Annual,Forb,5,-12.7,0.3,3.2,0.2,3.0,0.4,Seed
BOBA2,0.0,0.0,0.0,11.0,5.3,1.3,Poaceae,Bouteloua,barbata,sixweeks grama,y,C4,Annual,Grass,2,-14.6,0.2,1.3,0.7,0.8,0.1,Leaves
PHCR,1.4,0.5,0.1,0.0,0.0,0.0,Hydrophyllaceae,Phacelia,crenulata,cleafleaf wildheliotrope,y,C3,Annual,Forb,,,,,,,,
CHST8,0.0,0.0,0.0,10.0,3.5,0.9,Euphorbiaceae,Chamaesyce,stictospora,slimseed sandmat,y,C4,Annual,Forb,,,,,,,,
KAPA,0.0,0.0,0.0,197.0,49.9,12.5,Zygophyllaceae,Kallstroemia,parviflora,warty caltrop,y,C4,Annual,Forb,,,,,,,,
MUSQ3,0.0,0.0,0.0,1.6,0.6,0.2,Poaceae,Munroa,squarrosa,false buffalograss,y,C4,Annual,Grass,,,,,,,,
TILA2,0.0,0.0,0.0,3.4,1.1,0.3,Amaranthaceae,Tidestromia,lanuginosa,wooly tidestromia,y,C4,Annual,Forb,,,,,,,,
