st	accession	sp	gn
Cephaloticoccus_capnophilus	GCF_001580045.1	Cephaloticoccus capnophilus	Cephaloticoccus
Cereibacter_changlensis_JA139	GCF_003034985.1	Cereibacter changlensis	Cereibacter
Cesiribacter_andamanensis_AMV16	GCF_000348925.1	Cesiribacter andamanensis	Cesiribacter
Cetia_pacifica	GCF_003752135.1	Cetia pacifica	Cetia
Cetobacterium_ceti	GCF_900167275.1	Cetobacterium ceti	Cetobacterium
Chamaesiphon_minutus_PCC_6605	GCF_000317145.1	Chamaesiphon minutus	Chamaesiphon
Chania_multitudinisentens_RB-25	GCF_000568195.1	Chania multitudinisentens	Chania
Chelativorans_sp._BNC1	GCF_000014245.1	Chelativorans sp.	Chelativorans
Chelatococcus_sambhunathii	GCF_001418005.1	Chelatococcus sambhunathii	Chelatococcus
Chelonobacter_oris	GCF_000772535.1	Chelonobacter oris	Chelonobacter
Chishuiella_changwenlii	GCF_900142565.1	Chishuiella changwenlii	Chishuiella
Chitinibacter_tainanensis_DSM_15459	GCF_000429785.1	Chitinibacter tainanensis	Chitinibacter
Chitinilyticum_litopenaei_DSM_21440	GCF_000428145.1	Chitinilyticum litopenaei	Chitinilyticum
Chitinimonas_koreensis_DSM_17726	GCF_000428465.1	Chitinimonas koreensis	Chitinimonas
Chitiniphilus_shinanonensis_DSM_23277	GCF_000374805.1	Chitiniphilus shinanonensis	Chitiniphilus
Chitinivibrio_alkaliphilus_ACht1	GCF_000474745.1	Chitinivibrio alkaliphilus	Chitinivibrio
Chitinophaga_sancti	GCF_900119105.1	Chitinophaga sancti	Chitinophaga
Chitinophagaceae_bacterium_HBUM179779	GCF_003991195.1	Chitinophagaceae bacterium	Chitinophagaceae
Chlamydia_felis_Fe/C-56	GCF_000009945.1	Chlamydia felis	Chlamydia
Chlamydiales_bacterium_SCGC_AG-110-P3	GCF_900093655.1	Chlamydiales bacterium	Chlamydiales
Chloracidobacterium_thermophilum_B	GCF_000226295.1	Chloracidobacterium thermophilum	Chloracidobacterium
Chlorobaculum_parvum_NCIB_8327	GCF_000020505.1	Chlorobaculum parvum	Chlorobaculum
Chlorobium_phaeobacteroides_BS1	GCF_000020545.1	Chlorobium phaeobacteroides	Chlorobium
Chloroflexales_bacterium_ZM16-3	GCF_004138175.1	Chloroflexales bacterium	Chloroflexales
Chloroflexus_aurantiacus_J-10-fl	GCF_000018865.1	Chloroflexus aurantiacus	Chloroflexus
Chlorogloea_sp._CCALA_695	GCF_003003885.1	Chlorogloea sp.	Chlorogloea
Chlorogloeopsis_fritschii_PCC_6912	GCF_000317285.1	Chlorogloeopsis fritschii	Chlorogloeopsis
Chloroherpeton_thalassium_ATCC_35110	GCF_000020525.1	Chloroherpeton thalassium	Chloroherpeton
Chondrocystis_sp._NIES-4102	GCF_002368355.1	Chondrocystis sp.	Chondrocystis
Chondromyces_crocatus	GCF_001189295.1	Chondromyces crocatus	Chondromyces
Christensenella_timonensis	GCF_900087015.1	Christensenella timonensis	Christensenella
Chromatiaceae_bacterium_2141T.STBD.0c.01a	GCF_002009425.1	Chromatiaceae bacterium	Chromatiaceae
Chromatium_okenii	GCF_002958735.1	Chromatium okenii	Chromatium
Chromatocurvus_sp._F02	GCF_002868715.1	Chromatocurvus sp.	Chromatocurvus
Chromobacterium_subtsugae	GCF_001676875.1	Chromobacterium subtsugae	Chromobacterium
Chromohalobacter_salexigens_DSM_3043	GCF_000055785.1	Chromohalobacter salexigens	Chromohalobacter
Chroococcales_cyanobacterium_IPPAS_B-1203	GCF_002749975.1	Chroococcales cyanobacterium	Chroococcales
Chroococcidiopsis_thermalis_PCC_7203	GCF_000317125.1	Chroococcidiopsis thermalis	Chroococcidiopsis
Chroogloeocystis_siderophila_5.2_s.c.1	GCF_001904655.1	Chroogloeocystis siderophila	Chroogloeocystis
Chryseobacterium_soldanellicola	GCF_900100115.1	Chryseobacterium soldanellicola	Chryseobacterium
Chryseolinea_serpens	GCF_900129725.1	Chryseolinea serpens	Chryseolinea
Chryseomicrobium_excrementi	GCF_002798305.1	Chryseomicrobium excrementi	Chryseomicrobium
Chrysiogenes_arsenatis_DSM_11915	GCF_000469585.1	Chrysiogenes arsenatis	Chrysiogenes
Chthoniobacter_flavus_Ellin428	GCF_000173075.1	Chthoniobacter flavus	Chthoniobacter
Chthonomonas_calidirosea_T49	GCF_000427095.1	Chthonomonas calidirosea	Chthonomonas
Ciceribacter_sp._F8825	GCF_004137355.1	Ciceribacter sp.	Ciceribacter
Citreicella_sp._SE45	GCF_000161755.1	Citreicella sp.	Citreicella
Citreimonas_salinaria	GCF_900107235.1	Citreimonas salinaria	Citreimonas
Citricoccus_sp._CH26A	GCF_000224415.1	Citricoccus sp.	Citricoccus
Citrobacter_freundii_CFNIH1	GCF_000648515.1	Citrobacter freundii	Citrobacter
Citromicrobium_bathyomarinum_JL354	GCF_000176355.1	Citromicrobium bathyomarinum	Citromicrobium
Clavibacter_michiganensis_subsp._sepedonicus	GCF_000069225.1	Clavibacter michiganensis	Clavibacter
Cloacibacillus_evryensis_DSM_19522	GCF_000585335.1	Cloacibacillus evryensis	Cloacibacillus
Cloacibacterium_normanense	GCF_900104195.1	Cloacibacterium normanense	Cloacibacterium
Clostridia_bacterium_UC5.1-2H11	GCF_001305155.1	Clostridia bacterium	Clostridia
Clostridiaceae_bacterium_JG1575	GCF_002838815.1	Clostridiaceae bacterium	Clostridiaceae
Clostridiales_bacterium	GCF_900176495.1	Clostridiales bacterium	Clostridiales
Clostridiisalibacter_paucivorans_DSM_22131	GCF_000620125.1	Clostridiisalibacter paucivorans	Clostridiisalibacter
Clostridioides_mangenotii_LM2	GCF_000687955.1	Clostridioides mangenotii	Clostridioides
Clostridium_phoceensis	GCF_001244495.1	Clostridium phoceensis	Clostridium
Cnuella_takakiae	GCF_001953305.1	Cnuella takakiae	Cnuella
Cnuibacter_physcomitrellae	GCF_002096055.1	Cnuibacter physcomitrellae	Cnuibacter
Cobetia_marina	GCF_001720485.1	Cobetia marina	Cobetia
Cognatishimia_maritima	GCF_900129685.1	Cognatishimia maritima	Cognatishimia
Cognatiyoonia_koreensis	GCF_900109295.1	Cognatiyoonia koreensis	Cognatiyoonia
Cohaesibacter_marisflavi	GCF_900115225.1	Cohaesibacter marisflavi	Cohaesibacter
Cohnella_laeviribosi_DSM_21336	GCF_000378425.1	Cohnella laeviribosi	Cohnella
Coleofasciculus_chthonoplastes_PCC_7420	GCF_000155555.1	Coleofasciculus chthonoplastes	Coleofasciculus
Colibacter_massiliensis	GCF_900095855.1	Colibacter massiliensis	Colibacter
Collimonas_pratensis	GCF_001584185.1	Collimonas pratensis	Collimonas
Collinsella_stercoris_DSM_13279	GCF_000156215.1	Collinsella stercoris	Collinsella
Colwellia_agarivorans	GCF_002000085.1	Colwellia agarivorans	Colwellia
Comamonadaceae_bacterium_NML79-0751	GCF_002285275.1	Comamonadaceae bacterium	Comamonadaceae
Comamonas_kerstersii	GCF_002056725.1	Comamonas kerstersii	Comamonas
Commensalibacter_intestini_A911	GCF_000231445.1	Commensalibacter intestini	Commensalibacter
Compostimonas_suwonensis	GCF_002797855.1	Compostimonas suwonensis	Compostimonas
Conchiformibius_kuhniae_DSM_17694	GCF_000428785.1	Conchiformibius kuhniae	Conchiformibius
Conexibacter_woesei_Iso977N	GCF_000424625.1	Conexibacter woesei	Conexibacter
Confluentibacter_sp._3B	GCF_002843175.1	Confluentibacter sp.	Confluentibacter
Confluentimicrobium_sp._EMB200-NS6	GCF_001305615.1	Confluentimicrobium sp.	Confluentimicrobium
Congregibacter_litoralis_KT71	GCF_000153125.2	Congregibacter litoralis	Congregibacter
Conservatibacter_flavescens	GCF_002795425.1	Conservatibacter flavescens	Conservatibacter
Consotaella_salsifontis	GCF_900167365.1	Consotaella salsifontis	Consotaella
Convivina_intestini	GCF_003096575.1	Convivina intestini	Convivina
Coprobacillus_sp._AF09-1A	GCF_003479775.1	Coprobacillus sp.	Coprobacillus
Coprobacter_fastidiosus_NSB1	GCF_000473955.1	Coprobacter fastidiosus	Coprobacter
Coprococcus_eutactus_ATCC_27759	GCF_000154425.1	Coprococcus eutactus	Coprococcus
Coprothermobacter_platensis_DSM_11748	GCF_000378005.1	Coprothermobacter platensis	Coprothermobacter
Coraliomargarita_akajimensis_DSM_45221	GCF_000025905.1	Coraliomargarita akajimensis	Coraliomargarita
Corallincola_sp._176GS2-150	GCF_004284785.1	Corallincola sp.	Corallincola
Coriobacteriaceae_bacterium_BV3Ac1	GCF_000468855.1	Coriobacteriaceae bacterium	Coriobacteriaceae
Coriobacteriales_bacterium_DNF00809	GCF_001552935.1	Coriobacteriales bacterium	Coriobacteriales
Coriobacterium_glomerans_PW2	GCF_000195315.1	Coriobacterium glomerans	Coriobacterium
Corticibacter_populi	GCF_003703815.1	Corticibacter populi	Corticibacter
Corynebacterium_lubricantis_DSM_45231	GCF_000379425.1	Corynebacterium lubricantis	Corynebacterium
Corynebacterium-like_bacterium_B27	GCF_000333435.1	Corynebacterium-like bacterium	Corynebacterium-like
Cosenzaea_myxofaciens_ATCC_19692	GCF_001654855.1	Cosenzaea myxofaciens	Cosenzaea
Couchioplanes_caeruleus_subsp._caeruleus	GCF_001884705.1	Couchioplanes caeruleus	Couchioplanes
Coxiella_endosymbiont_of_Amblyomma_americanum	GCF_000815025.1	Coxiella endosymbiont	Coxiella
Coxiella-like_endosymbiont	GCF_002871095.1	Coxiella-like endosymbiont	Coxiella-like
Crenobacter_luteus	GCF_001619695.1	Crenobacter luteus	Crenobacter
Crenotalea_thermophila	GCF_900116565.1	Crenotalea thermophila	Crenotalea
Crenothrix_polyspora	GCF_900163755.1	Crenothrix polyspora	Crenothrix
Criblamydia_sequanensis_CRIB-18	GCF_000750955.1	Criblamydia sequanensis	Criblamydia
Cribrihabitans_marinus	GCF_900109035.1	Cribrihabitans marinus	Cribrihabitans
Criibacterium_bergeronii	GCF_001693775.2	Criibacterium bergeronii	Criibacterium
Crinalium_epipsammum_PCC_9333	GCF_000317495.1	Crinalium epipsammum	Crinalium
Croceibacter_atlanticus_HTCC2559	GCF_000196315.1	Croceibacter atlanticus	Croceibacter
Croceicoccus_marinus	GCF_001661675.2	Croceicoccus marinus	Croceicoccus
Croceitalea_dokdonensis_DOKDO_023	GCF_001306415.1	Croceitalea dokdonensis	Croceitalea
Croceivirga_radicis	GCF_000220585.1	Croceivirga radicis	Croceivirga
Crocinitomix_catalasitica_ATCC_23190	GCF_000621625.1	Crocinitomix catalasitica	Crocinitomix
Crocosphaera_watsonii_WH_8501	GCF_000167195.1	Crocosphaera watsonii	Crocosphaera
Cronobacter_sakazakii	GCF_000982825.1	Cronobacter sakazakii	Cronobacter
Crossiella_equi	GCF_002155995.1	Crossiella equi	Crossiella
Cruoricaptor_ignavus	GCF_900141665.1	Cruoricaptor ignavus	Cruoricaptor
Cryobacterium_roopkundense	GCF_000764165.1	Cryobacterium roopkundense	Cryobacterium
Cryocola_sp._340MFSha3.1	GCF_000383315.1	Cryocola sp.	Cryocola
Cryptobacterium_curtum_DSM_15641	GCF_000023845.1	Cryptobacterium curtum	Cryptobacterium
Cryptosporangium_arvum_DSM_44712	GCF_000585375.1	Cryptosporangium arvum	Cryptosporangium
Cucumibacter_marinus_DSM_18995	GCF_000429865.1	Cucumibacter marinus	Cucumibacter
Culturomica_massiliensis	GCF_900091655.1	Culturomica massiliensis	Culturomica
Cuneatibacter_caecimuris	GCF_004216775.1	Cuneatibacter caecimuris	Cuneatibacter
Cupriavidus_basilensis	GCF_000832305.1	Cupriavidus basilensis	Cupriavidus
Curtobacterium_ammoniigenes_NBRC_101786	GCF_001571045.1	Curtobacterium ammoniigenes	Curtobacterium
Curvibacter_delicatus_NBRC_14919	GCF_001592265.1	Curvibacter delicatus	Curvibacter
Cuspidothrix_issatschenkoi_CHARLIE-1	GCF_002934005.1	Cuspidothrix issatschenkoi	Cuspidothrix
Cutibacterium_avidum_44067	GCF_000367205.1	Cutibacterium avidum	Cutibacterium
Cyanobacterium_aponinum_PCC_10605	GCF_000317675.1	Cyanobacterium aponinum	Cyanobacterium
cyanobacterium_PCC_7702	GCF_000332255.1	cyanobacterium PCC	cyanobacterium
Cyanobium_gracile_PCC_6307	GCF_000316515.1	Cyanobium gracile	Cyanobium
Cyanosarcina_cf._burmensis_CCALA_770	GCF_003004015.1	Cyanosarcina cf.	Cyanosarcina
Cyanothece_sp._PCC_7425	GCF_000022045.1	Cyanothece sp.	Cyanothece
Cyclobacteriaceae_bacterium_YHN15	GCF_003797895.1	Cyclobacteriaceae bacterium	Cyclobacteriaceae
Cyclobacterium_lianum	GCF_900143075.1	Cyclobacterium lianum	Cyclobacterium
Cycloclasticus_pugetii_PS-1	GCF_000384415.1	Cycloclasticus pugetii	Cycloclasticus
Cylindrospermopsis_raciborskii_CS-505	GCF_001676585.1	Cylindrospermopsis raciborskii	Cylindrospermopsis
Cylindrospermum_stagnale_PCC_7417	GCF_000317535.1	Cylindrospermum stagnale	Cylindrospermum
Cysteiniphilum_litorale	GCF_003428165.1	Cysteiniphilum litorale	Cysteiniphilum
Cystobacter_fuscus_DSM_2262	GCF_000335475.2	Cystobacter fuscus	Cystobacter
Cytophaga_hutchinsonii_ATCC_33406	GCF_000014145.1	Cytophaga hutchinsonii	Cytophaga
Cytophagaceae_bacterium_CAR-16	GCF_004118285.1	Cytophagaceae bacterium	Cytophagaceae
Cytophagales_bacterium_B6	GCF_000333295.1	Cytophagales bacterium	Cytophagales
Dactylococcopsis_salina_PCC_8305	GCF_000317615.1	Dactylococcopsis salina	Dactylococcopsis
Dactylosporangium_aurantiacum	GCF_000716715.1	Dactylosporangium aurantiacum	Dactylosporangium
Dakarella_massiliensis	GCF_001182045.1	Dakarella massiliensis	Dakarella
Dasania_marina_DSM_21967	GCF_000373485.1	Dasania marina	Dasania
Dechloromonas_denitrificans	GCF_001551835.1	Dechloromonas denitrificans	Dechloromonas
Deefgea_rivuli_DSM_18356	GCF_000620145.1	Deefgea rivuli	Deefgea
Deferribacter_desulfuricans_SSM1	GCF_000010985.1	Deferribacter desulfuricans	Deferribacter
Defluviimonas_indica	GCF_900106675.1	Defluviimonas indica	Defluviimonas
Defluviitalea_phaphyphila	GCF_001466305.1	Defluviitalea phaphyphila	Defluviitalea
Defluviitoga_tunisiensis	GCF_000953715.1	Defluviitoga tunisiensis	Defluviitoga
Dehalobacter_restrictus_DSM_9455	GCF_000512895.1	Dehalobacter restrictus	Dehalobacter
Dehalobacterium_formicoaceticum	GCF_002224645.1	Dehalobacterium formicoaceticum	Dehalobacterium
Dehalococcoides_mccartyi_CG5	GCF_000830885.1	Dehalococcoides mccartyi	Dehalococcoides
Dehalogenimonas_lykanthroporepellens_BL-DC-9	GCF_000143165.1	Dehalogenimonas lykanthroporepellens	Dehalogenimonas
Deinococcus_ficus_DSM_19119	GCF_000430865.1	Deinococcus ficus	Deinococcus
Delftia_acidovorans_SPH-1	GCF_000018665.1	Delftia acidovorans	Delftia
delta_proteobacterium_PSCGC_5451	GCF_000483025.1	delta proteobacterium	delta
Demequina_flava	GCF_000975035.1	Demequina flava	Demequina
Demetria_terragena_DSM_11295	GCF_000376825.1	Demetria terragena	Demetria
Dendrosporobacter_quercicolus	GCF_900104455.1	Dendrosporobacter quercicolus	Dendrosporobacter
Denitrobacterium_detoxificans	GCF_001643775.1	Denitrobacterium detoxificans	Denitrobacterium
Denitrovibrio_acetiphilus_DSM_12809	GCF_000025725.1	Denitrovibrio acetiphilus	Denitrovibrio
Dermabacter_vaginalis	GCF_001678905.1	Dermabacter vaginalis	Dermabacter
Dermacoccaceae_bacterium_RIT621	GCF_004146205.1	Dermacoccaceae bacterium	Dermacoccaceae
Dermacoccus_nishinomiyaensis	GCF_000725405.1	Dermacoccus nishinomiyaensis	Dermacoccus
Dermatophilus_congolensis_DSM_44180_=_NBRC_105199	GCF_000429885.1	Dermatophilus congolensis	Dermatophilus
Derxia_lacustris	GCF_002105195.1	Derxia lacustris	Derxia
Desemzia_incerta	GCF_900115825.1	Desemzia incerta	Desemzia
Desertifilum_sp._IPPAS_B-1220	GCF_001746915.1	Desertifilum sp.	Desertifilum
Desertimonas_flava	GCF_003426815.1	Desertimonas flava	Desertimonas
Desmospora_sp._8437	GCF_000213595.1	Desmospora sp.	Desmospora
Desnuesiella_massiliensis	GCF_001403615.1	Desnuesiella massiliensis	Desnuesiella
Desulfacinum_infernum_DSM_9756	GCF_900129305.1	Desulfacinum infernum	Desulfacinum
Desulfallas_gibsoniae_DSM_7213	GCF_000233715.2	Desulfallas gibsoniae	Desulfallas
Desulfamplus_magnetovallimortis	GCF_900170035.1	Desulfamplus magnetovallimortis	Desulfamplus
Desulfarculus_baarsii_DSM_2075	GCF_000143965.1	Desulfarculus baarsii	Desulfarculus
Desulfatibacillum_aliphaticivorans_DSM_15576	GCF_000429905.1	Desulfatibacillum aliphaticivorans	Desulfatibacillum
Desulfatiglans_anilini_DSM_4660	GCF_000422285.1	Desulfatiglans anilini	Desulfatiglans
Desulfatirhabdium_butyrativorans_DSM_18734	GCF_000429925.1	Desulfatirhabdium butyrativorans	Desulfatirhabdium
Desulfatitalea_tepidiphila	GCF_001293685.1	Desulfatitalea tepidiphila	Desulfatitalea
Desulfitibacter_alkalitolerans_DSM_16504	GCF_000620305.1	Desulfitibacter alkalitolerans	Desulfitibacter
Desulfitobacterium_hafniense_DCB-2	GCF_000021925.1	Desulfitobacterium hafniense	Desulfitobacterium
Desulfobacca_acetoxidans_DSM_11109	GCF_000195295.1	Desulfobacca acetoxidans	Desulfobacca
Desulfobacter_vibrioformis_DSM_8776	GCF_000745975.1	Desulfobacter vibrioformis	Desulfobacter
Desulfobacterium_vacuolatum_DSM_3385	GCF_900176365.1	Desulfobacterium vacuolatum	Desulfobacterium
Desulfobacula_toluolica_Tol2	GCF_000307105.1	Desulfobacula toluolica	Desulfobacula
Desulfobulbus_japonicus_DSM_18378	GCF_000429945.1	Desulfobulbus japonicus	Desulfobulbus
Desulfocapsa_sulfexigens_DSM_10523	GCF_000341395.1	Desulfocapsa sulfexigens	Desulfocapsa
Desulfocarbo_indianensis	GCF_001184205.1	Desulfocarbo indianensis	Desulfocarbo
Desulfococcus_multivorans	GCF_001854245.1	Desulfococcus multivorans	Desulfococcus
Desulfocucumis_palustris	GCF_002933875.1	Desulfocucumis palustris	Desulfocucumis
Desulfocurvus_vexinensis_DSM_17965	GCF_000519125.1	Desulfocurvus vexinensis	Desulfocurvus
Desulfofaba_hansenii	GCF_002798115.1	Desulfofaba hansenii	Desulfofaba
Desulfofarcimen_intricatum	GCF_001592105.1	Desulfofarcimen intricatum	Desulfofarcimen
Desulfofundulus_thermocisternus_DSM_10259	GCF_000686645.1	Desulfofundulus thermocisternus	Desulfofundulus
Desulfofustis_glycolicus_DSM_9705	GCF_900130015.1	Desulfofustis glycolicus	Desulfofustis
Desulfohalobium_retbaense_DSM_5692	GCF_000024325.1	Desulfohalobium retbaense	Desulfohalobium
Desulfohalotomaculum_alkaliphilum_DSM_12257	GCF_000711975.1	Desulfohalotomaculum alkaliphilum	Desulfohalotomaculum
Desulfoluna_spongiiphila	GCF_900101345.1	Desulfoluna spongiiphila	Desulfoluna
Desulfomicrobium_baculatum_DSM_4028	GCF_000023225.1	Desulfomicrobium baculatum	Desulfomicrobium
Desulfomonile_tiedjei_DSM_6799	GCF_000266945.1	Desulfomonile tiedjei	Desulfomonile
Desulfonatronospira_thiodismutans_ASO3-1	GCF_000174435.1	Desulfonatronospira thiodismutans	Desulfonatronospira
Desulfonatronovibrio_magnus	GCF_000934755.1	Desulfonatronovibrio magnus	Desulfonatronovibrio
Desulfonatronum_thioautotrophicum	GCF_000934745.1	Desulfonatronum thioautotrophicum	Desulfonatronum
Desulfonauticus_submarinus	GCF_900104045.1	Desulfonauticus submarinus	Desulfonauticus
Desulfonema_ishimotonii	GCF_003851005.1	Desulfonema ishimotonii	Desulfonema
Desulfonispora_thiosulfatigenes_DSM_11270	GCF_900176035.1	Desulfonispora thiosulfatigenes	Desulfonispora
Desulfopila_aestuarii_DSM_18488	GCF_900143695.1	Desulfopila aestuarii	Desulfopila
Desulfoplanes_formicivorans	GCF_001748225.1	Desulfoplanes formicivorans	Desulfoplanes
Desulforegula_conservatrix_Mb1Pa	GCF_000426225.1	Desulforegula conservatrix	Desulforegula
Desulforhopalus_singaporensis	GCF_900104445.1	Desulforhopalus singaporensis	Desulforhopalus
Desulfosarcina_cetonica_JCM_12296	GCF_001311845.1	Desulfosarcina cetonica	Desulfosarcina
Desulfosoma_caldarium	GCF_003751385.1	Desulfosoma caldarium	Desulfosoma
Desulfospira_joergensenii_DSM_10085	GCF_000420085.1	Desulfospira joergensenii	Desulfospira
Desulfosporosinus_acididurans	GCF_001029285.1	Desulfosporosinus acididurans	Desulfosporosinus
Desulfotalea_psychrophila_LSv54	GCF_000025945.1	Desulfotalea psychrophila	Desulfotalea
Desulfotignum_balticum_DSM_7044	GCF_000421285.1	Desulfotignum balticum	Desulfotignum
Desulfotomaculum_copahuensis	GCF_001655685.1	Desulfotomaculum copahuensis	Desulfotomaculum
Desulfovermiculus_halophilus_DSM_18834	GCF_000620765.1	Desulfovermiculus halophilus	Desulfovermiculus
Desulfovibrio_mexicanus	GCF_900188225.1	Desulfovibrio mexicanus	Desulfovibrio
Desulfovirgula_thermocuniculi_DSM_16036	GCF_000429345.1	Desulfovirgula thermocuniculi	Desulfovirgula
Desulfurella_amilsii	GCF_002119425.1	Desulfurella amilsii	Desulfurella
Desulfuribacillus_alkaliarsenatis	GCF_001730225.1	Desulfuribacillus alkaliarsenatis	Desulfuribacillus
Desulfurispirillum_indicum_S5	GCF_000177635.2	Desulfurispirillum indicum	Desulfurispirillum
Desulfurispora_thermophila_DSM_16022	GCF_000376385.1	Desulfurispora thermophila	Desulfurispora
Desulfurivibrio_alkaliphilus_AHT_2	GCF_000092205.1	Desulfurivibrio alkaliphilus	Desulfurivibrio
Desulfurobacterium_thermolithotrophum_DSM_11699	GCF_000191045.1	Desulfurobacterium thermolithotrophum	Desulfurobacterium
Desulfuromonas_acetoxidans_DSM_684	GCF_000167355.1	Desulfuromonas acetoxidans	Desulfuromonas
Desulfuromusa_kysingii	GCF_900107645.1	Desulfuromusa kysingii	Desulfuromusa
Dethiobacter_alkaliphilus_AHT_1	GCF_000174415.1	Dethiobacter alkaliphilus	Dethiobacter
Dethiosulfatarculus_sandiegensis	GCF_000931935.2	Dethiosulfatarculus sandiegensis	Dethiosulfatarculus
Dethiosulfatibacter_aminovorans_DSM_17477	GCF_900142005.1	Dethiosulfatibacter aminovorans	Dethiosulfatibacter
Dethiosulfovibrio_peptidovorans_DSM_11002	GCF_000172975.1	Dethiosulfovibrio peptidovorans	Dethiosulfovibrio
Devosia_limi_DSM_17137	GCF_900128975.1	Devosia limi	Devosia
Devriesea_agamarum	GCF_900070355.1	Devriesea agamarum	Devriesea
Dialister_invisus_DSM_15470	GCF_000160055.1	Dialister invisus	Dialister
Diaminobutyricimonas_aerilata	GCF_002797715.1	Diaminobutyricimonas aerilata	Diaminobutyricimonas
Diaphorobacter_polyhydroxybutyrativorans	GCF_002214645.1	Diaphorobacter polyhydroxybutyrativorans	Diaphorobacter
Dichelobacter_nodosus_VCS1703A	GCF_000015345.1	Dichelobacter nodosus	Dichelobacter
Dichotomicrobium_thermohalophilum	GCF_003550175.1	Dichotomicrobium thermohalophilum	Dichotomicrobium
Dickeya_zeae_Ech586	GCF_000025065.1	Dickeya zeae	Dickeya
Dictyobacter_aurantiacus	GCF_003967515.1	Dictyobacter aurantiacus	Dictyobacter
Dictyoglomus_turgidum_DSM_6724	GCF_000021645.1	Dictyoglomus turgidum	Dictyoglomus
Dielma_fastidiosa	GCF_000313565.1	Dielma fastidiosa	Dielma
Dietzia_alimentaria	GCF_001722515.1	Dietzia alimentaria	Dietzia
Dinoroseobacter_shibae_DFL_12_=_DSM_16493	GCF_000018145.1	Dinoroseobacter shibae	Dinoroseobacter
Diplorickettsia_massiliensis_20B	GCF_000257395.1	Diplorickettsia massiliensis	Diplorickettsia
Dissulfuribacter_thermophilus	GCF_001687335.1	Dissulfuribacter thermophilus	Dissulfuribacter
Dokdonella_immobilis	GCF_900115085.1	Dokdonella immobilis	Dokdonella
Dokdonia_donghaensis_DSW-1	GCF_001653755.1	Dokdonia donghaensis	Dokdonia
Dolichospermum_circinale_AWQC310F	GCF_000426925.1	Dolichospermum circinale	Dolichospermum
Dolosicoccus_paucivorans	GCF_900100125.1	Dolosicoccus paucivorans	Dolosicoccus
Dolosigranulum_pigrum_ATCC_51524	GCF_000245815.1	Dolosigranulum pigrum	Dolosigranulum
Domibacillus_antri	GCF_001936625.1	Domibacillus antri	Domibacillus
Donghicola_eburneus	GCF_900115865.1	Donghicola eburneus	Donghicola
Dongia_sp._URHE0060	GCF_000620685.1	Dongia sp.	Dongia
Dorea_longicatena_DSM_13814	GCF_000154065.1	Dorea longicatena	Dorea
Draconibacterium_orientale	GCF_000626635.1	Draconibacterium orientale	Draconibacterium
Drancourtella_sp._An177	GCF_002160415.1	Drancourtella sp.	Drancourtella
Dubosiella_newyorkensis	GCF_001945605.1	Dubosiella newyorkensis	Dubosiella
Duganella_sacchari	GCF_900143065.1	Duganella sacchari	Duganella
Duncaniella_muris	GCF_003024805.1	Duncaniella muris	Duncaniella
Duodenibacillus_massiliensis	GCF_900128485.1	Duodenibacillus massiliensis	Duodenibacillus
Dyadobacter_alkalitolerans_DSM_23607	GCF_000428845.1	Dyadobacter alkalitolerans	Dyadobacter
Dyella_japonica_UNC79MFTsu3.2	GCF_000620485.1	Dyella japonica	Dyella
Dyella-like_sp._DHo	GCF_001182895.1	Dyella-like sp.	Dyella-like
Dysgonamonadaceae_bacterium	GCF_002849245.1	Dysgonamonadaceae bacterium	Dysgonamonadaceae
Dysgonomonas_gadei_ATCC_BAA-286	GCF_000213555.1	Dysgonomonas gadei	Dysgonomonas
Echinicola_pacifica_DSM_19836	GCF_000373245.1	Echinicola pacifica	Echinicola
Ectothiorhodosinus_mongolicus	GCF_900156225.1	Ectothiorhodosinus mongolicus	Ectothiorhodosinus
Ectothiorhodospira_marina	GCF_900109495.1	Ectothiorhodospira marina	Ectothiorhodospira
Edaphobacillus_lindanitolerans	GCF_900156305.1	Edaphobacillus lindanitolerans	Edaphobacillus
Edaphobacter_aggregans_DSM_19364	GCF_000745965.1	Edaphobacter aggregans	Edaphobacter
Edwardsiella_anguillarum_ET080813	GCF_000264765.2	Edwardsiella anguillarum	Edwardsiella
Effusibacillus_pohliae_DSM_22757	GCF_000376225.1	Effusibacillus pohliae	Effusibacillus
Eggerthella_lenta_DSM_2243	GCF_000024265.1	Eggerthella lenta	Eggerthella
Eggerthellaceae_bacterium_AT8	GCF_001486445.1	Eggerthellaceae bacterium	Eggerthellaceae
Eggerthia_catenaformis_OT_569_=_DSM_20559	GCF_000340375.1	Eggerthia catenaformis	Eggerthia
Ehrlichia_chaffeensis_str._Arkansas	GCF_000013145.1	Ehrlichia chaffeensis	Ehrlichia
Eikenella_corrodens_ATCC_23834	GCF_000158615.1	Eikenella corrodens	Eikenella
Eilatimonas_milleporae	GCF_003688555.1	Eilatimonas milleporae	Eilatimonas
Eisenbergiella_tayi	GCF_001717135.1	Eisenbergiella tayi	Eisenbergiella
Eisenibacter_elegans_DSM_3317	GCF_000430505.1	Eisenibacter elegans	Eisenibacter
Ekhidna_lutea	GCF_900188325.1	Ekhidna lutea	Ekhidna
Elioraea_tepidiphila_DSM_17972	GCF_000378465.1	Elioraea tepidiphila	Elioraea
Elizabethkingia_anophelis_NUHP1	GCF_000495935.2	Elizabethkingia anophelis	Elizabethkingia
Elstera_litoralis	GCF_000963705.1	Elstera litoralis	Elstera
